stock_symbol,slope,intercept,R2,MSE,mean_yearly_pct_returns,sharpe_ratio,theta_score
SEB,0.9467523161295661,2874.7928007133755,0.5140084759142866,161028.82542016095,0.10044358066605028,-0.7873448363540494,0.6866377432570238
CABO,0.7804162317375913,275.88441019700855,0.8513996268149375,11674.579109907641,0.3451415542013344,-0.7975889712893153,0.5437154512835554
TPL,0.4963384530849221,-21.803423197951872,0.8119205472834606,10843.166432860393,0.4657503740720459,-0.31086977056223075,0.3752572195378492
TTD,0.29766987251669175,-13.582084633286058,0.8585510075327643,827.998465721078,1.223732396511504,-0.15100852325820596,0.23036811315045708
MELI,0.3251211732570329,1.1190258354575064,0.816156153747868,4524.168827036598,0.4450256561662677,-0.4095069143236311,0.21492696011993329
SHOP,0.26910605089663364,-34.99329832131477,0.8178530164849701,1817.9063725006731,0.9603517465232548,-0.21147505448988044,0.19701888508865653
MTD,0.3732098773443322,188.18086246222953,0.9116793281543866,2563.887547509614,0.24420833795799038,-0.8872741642895918,0.18413727109924358
ISRG,0.33362601819007587,56.09254676711558,0.8997847274223101,2355.5242368026284,0.3141127852526819,-0.7254218541936499,0.174768837332517
AZO,0.2947952411423044,514.9241494928698,0.5365210967289666,14264.50028197329,0.17440338082035964,-0.7022740093397277,0.14523485356999954
CSGP,0.27555197724431896,78.80707947140101,0.7944936796139002,3731.7647496498357,0.2815739565833972,-0.7416777640809346,0.12296751604553093
